"Month","Evapo-transpiration (in mm)"
"2018-07",3.38
"2018-08",3.84
"2018-09",3.4
"2018-10",2.32
"2018-11",0.47
"2018-12",0.55
"2019-01",0.56
"2019-02",1.4
"2019-03",1
"2019-04",0.68
"2019-05",0.97
"2019-06",1.65
"2019-07",4.34
"2019-08",4.38
"2019-09",3.3
"2019-10",2.23
"2019-11",1.1
"2019-12",0.92
"2020-01",0.57
"2020-02",0.61
"2020-03",1.67
"2020-04",1.24
"2020-05",0.59
"2020-06",2.98
"2020-07",4.4
"2020-08",4.36
"2020-09",3.72
"2020-10",3.31
"2020-11",0.33
"2020-12",0.14
"2021-01",0.2
"2021-02",0.23
"2021-03",0.34
"2021-04",0.27
"2021-05",1.52
"2021-06",3.54
"2021-07",4.12
"2021-08",4.52
"2021-09",4.38
"2021-10",3.73
"2021-12",0.39
"2022-01",0.91
"2022-02",1.18
"2022-03",0.45
"2022-04",0.3
"2022-05",0.74
"2022-06",1.71
"2022-07",3.41
"2022-08",4.49
"2022-09",4.23
"2022-10",3.33
"2022-11",0.57
"2022-12",0.2
"2023-01",0.12
"2023-02",0.21
"2023-03",0.74
"2023-04",0.75
"2023-05",0.65
"2023-06",0.96
"2023-07",3.61
"2023-08",4.23
"2023-09",4.35
"2023-10",3.29
"2023-11",0.4
"2023-12",0.28
"2024-01",0.21
"2024-02",0.75
"2024-03",0.96
"2024-04",0.32
"2024-05",0.59
"2024-06",0.81
"2024-07",3.47
"2024-08",4.78
"2024-09",4.04
